ATF	1.0
8	11     
"AcquisitionMode=Episodic Stimulation"
"Comment="
"YTop=1000"
"YBottom=-1000"
"SyncTimeUnits=12.5"
"SweepStartTimesMS=0.000,3000.000,6000.000,9000.000,12000.000,15000.000,18000.000,21000.000,24000.000,27000.000"
"SignalsExported=V1prim"
"Signals="	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"
"Time (s)"	"Trace #1 (mV)"	"Trace #2 (mV)"	"Trace #3 (mV)"	"Trace #4 (mV)"	"Trace #5 (mV)"	"Trace #6 (mV)"	"Trace #7 (mV)"	"Trace #8 (mV)"	"Trace #9 (mV)"	"Trace #10 (mV)"
0.00375	-29.541	-29.2358	-29.9988	-29.6631	-29.9072	-29.2358	-29.0833	-28.4729	-29.0833	-29.2358
0.0038	-29.5715	-29.2358	-29.9988	-29.6936	-29.9072	-29.2053	-29.1138	-28.4729	-29.0833	-29.2664
0.00385	-29.5715	-29.2969	-30.0293	-29.6936	-29.9072	-29.2053	-29.1443	-28.4119	-29.0833	-29.2969
0.0039	-29.5715	-29.2664	-30.0293	-29.6631	-29.9377	-29.2053	-29.1443	-28.4424	-29.0222	-29.2358
0.00395	-29.541	-29.2358	-30.0293	-29.6631	-29.9072	-29.1748	-29.1748	-28.4424	-29.0527	-29.2664
0.004	-29.541	-29.2664	-30.0598	-29.6936	-29.9072	-29.2053	-29.1748	-28.3813	-29.0222	-29.2358
0.00405	-29.602	-29.2664	-29.9988	-29.7241	-29.9072	-29.2053	-29.1748	-28.3813	-29.0833	-29.2969
0.0041	-29.541	-29.2664	-30.0293	-29.6936	-29.9072	-29.2358	-29.1138	-28.3813	-29.0527	-29.2664
0.00415	-29.541	-29.2664	-30.0598	-29.6936	-29.8767	-29.2053	-29.1138	-28.4424	-29.0222	-29.2358
0.0042	-29.5715	-29.2664	-29.9988	-29.6936	-29.9072	-29.2053	-29.1138	-28.4119	-29.0527	-29.2664
0.00425	-29.5715	-29.2358	-29.9988	-29.6936	-29.8767	-29.2358	-29.0833	-28.3813	-28.9917	-29.2969
0.0043	-29.602	-29.2358	-30.0293	-29.7241	-29.8767	-29.2053	-29.0527	-28.4119	-29.0833	-29.2664
0.00435	-29.5715	-29.2053	-30.0293	-29.7241	-29.8767	-29.1748	-29.0833	-28.4424	-29.0527	-29.2358
0.0044	-29.602	-29.2664	-29.9988	-29.6631	-29.9377	-29.2053	-29.1138	-28.4119	-29.0222	-29.2358
0.00445	-29.602	-29.2969	-29.9683	-29.6631	-29.9072	-29.1748	-29.0833	-28.4119	-29.0222	-29.2358
0.0045	-29.602	-29.2969	-29.9988	-29.6631	-29.8767	-29.1748	-29.0833	-28.3813	-29.0222	-29.2969
0.00455	-29.6326	-29.2664	-30.0293	-29.6631	-29.9377	-29.2358	-29.1443	-28.3813	-29.0527	-29.2358
0.0046	-29.5715	-29.2053	-29.9988	-29.6631	-29.9072	-29.2358	-29.1138	-28.3813	-29.0222	-29.2053
0.00465	-29.5715	-29.2358	-30.0293	-29.6936	-29.9072	-29.2358	-29.1443	-28.4119	-29.0222	-29.2358
0.0047	-29.5715	-29.2664	-30.0293	-29.7241	-29.9377	-29.2053	-29.1138	-28.4424	-29.0222	-29.2358
0.00475	-29.6326	-29.2664	-30.0293	-29.6631	-29.9072	-29.2358	-29.1443	-28.4119	-28.9917	-29.2358
0.0048	-29.6631	-29.2664	-29.9683	-29.6631	-29.9377	-29.1748	-29.0833	-28.4424	-29.0527	-29.2664
0.00485	-29.602	-29.1748	-29.9988	-29.6936	-29.9377	-29.1748	-29.1138	-28.4424	-29.0222	-29.2664
0.0049	-29.602	-29.2053	-30.0293	-29.6326	-29.9377	-29.2053	-29.0527	-28.4119	-29.0222	-29.2664
0.00495	-29.602	-29.2053	-30.0293	-29.6631	-29.9683	-29.1748	-29.1443	-28.4119	-29.0222	-29.2358
0.005	-29.6326	-29.2053	-30.0293	-29.6631	-29.9377	-29.1748	-29.0833	-28.4119	-29.0527	-29.2664
0.00505	-29.6326	-29.2053	-30.0293	-29.6631	-29.9377	-29.1748	-29.0833	-28.4424	-29.0222	-29.2053
0.0051	-29.5715	-29.2358	-30.0293	-29.6326	-29.9377	-29.2358	-29.1138	-28.4119	-29.0527	-29.2664
0.00515	-29.6326	-29.2358	-30.0598	-29.6631	-29.9377	-29.1748	-29.1138	-28.4424	-29.0222	-29.2969
0.0052	-29.6326	-29.2358	-30.0293	-29.6326	-29.9377	-29.1748	-29.1138	-28.4119	-29.0222	-29.2053
0.00525	-29.6326	-29.2358	-30.0598	-29.6631	-29.9683	-29.2053	-29.0833	-28.4729	-29.0222	-29.2664
0.0053	-29.6326	-29.2358	-30.0903	-29.6326	-29.9072	-29.2358	-29.1138	-28.4424	-29.0222	-29.2358
0.00535	-29.6326	-29.2358	-30.0903	-29.6326	-29.9072	-29.2053	-29.1443	-28.4729	-29.0833	-29.2358
0.0054	-29.6326	-29.2358	-30.0293	-29.6326	-29.9377	-29.1748	-29.0833	-28.4424	-29.0527	-29.2664
0.00545	-29.602	-29.2053	-30.0903	-29.6631	-29.8767	-29.2358	-29.0833	-28.4424	-29.0222	-29.2664
0.0055	-29.6326	-29.2664	-30.0903	-29.6631	-29.9072	-29.2053	-29.0833	-28.4729	-29.0222	-29.2969
0.00555	-29.6326	-29.2664	-30.0293	-29.6326	-29.9072	-29.2358	-29.1138	-28.5339	-29.0527	-29.2969
0.0056	-29.6631	-29.2664	-30.0293	-29.6326	-29.8767	-29.2053	-29.1443	-28.5034	-29.0527	-29.3274
