g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
1,180,2.0,-42.0145378112793,0.0010215207003057003,0.06270994991064072,11.368111610412598,1.0,0.16584137082099915,0.0
1,200,2.0,-41.079349517822266,0.0019988715648651123,0.05665186792612076,11.691129684448242,1.0,0.18759667873382568,0.0
2,0,0.0,-65.33180236816406,0.0023880500812083483,0.60774827003479,5.11390495300293,0.0,0.004266038071364164,0.0
2,5,2.0,-62.01592254638672,0.001038564252667129,0.489542692899704,5.299066543579102,0.0,0.010856010019779205,0.0
2,10,6.0,-59.840850830078125,0.0026980021502822638,0.41259145736694336,5.5342326164245605,0.0,0.02060983143746853,0.0
2,15,40.0,-57.67232894897461,12.031652450561523,0.3548205494880676,8.54434871673584,0.0,0.07904966920614243,2.0
2,20,70.0,-54.15554428100586,21.305503845214844,0.30757832527160645,12.574100494384766,0.0,0.12899674475193024,7.0
2,30,84.0,-53.19404983520508,21.50018882751465,0.26025325059890747,13.794281005859375,0.0,0.15222850441932678,8.0
2,40,96.0,-51.416839599609375,21.086578369140625,0.22261270880699158,14.308126449584961,0.0,0.17206130921840668,9.0
2,60,114.0,-49.634620666503906,18.61627769470215,0.1735355406999588,14.502654075622559,0.0,0.1999758929014206,11.0
2,80,128.0,-47.21842575073242,16.051307678222656,0.1366029679775238,14.11108112335205,0.0,0.22205571830272675,13.0
2,90,134.0,-46.987735748291016,14.240028381347656,0.12198511511087418,13.782986640930176,0.0,0.22636005282402039,13.0
2,100,140.0,-46.10223388671875,12.58426284790039,0.11111588031053543,13.376615524291992,0.0,0.22373583912849426,14.0
2,110,6.0,-45.708553314208984,10.740636825561523,0.10108797252178192,12.91698932647705,0.0,0.210805743932724,0.0
2,120,4.0,-45.108741760253906,9.115479469299316,0.09223803132772446,12.418060302734375,0.0,0.19357910752296448,0.0
2,130,4.0,-44.46861267089844,7.347777366638184,0.08580749481916428,11.912418365478516,0.0,0.17524762451648712,0.0
2,140,4.0,-44.20042419433594,5.493027687072754,0.08085332810878754,11.442649841308594,0.0,0.15797987580299377,0.0
2,150,2.0,-43.7427864074707,3.225651979446411,0.07649742066860199,11.0263090133667,0.0,0.14457377791404724,0.0
2,160,2.0,-43.27444839477539,0.0025608690921217203,0.07204766571521759,10.889930725097656,1.0,0.14150558412075043,0.0
2,180,2.0,-42.27407455444336,0.0022971578873693943,0.06451423466205597,11.276201248168945,1.0,0.16102054715156555,0.0
2,200,2.0,-41.34434127807617,0.0026014121249318123,0.058305274695158005,11.605735778808594,1.0,0.18213483691215515,0.0
3,0,0.0,-65.50006103515625,0.0008544921875,0.6135238409042358,5.1086015701293945,0.0,0.004154058638960123,0.0
3,5,2.0,-62.15717697143555,0.0011123117292299867,0.4946408271789551,5.288797855377197,0.0,0.010680234991014004,0.0
3,10,4.0,-59.96879577636719,0.0026222055312246084,0.41702452301979065,5.500626564025879,0.0,0.016997620463371277,0.0
3,15,26.0,-56.82957458496094,17.08445167541504,0.34299999475479126,8.48172664642334,0.0,0.05588340014219284,4.0
3,20,50.0,-55.686405181884766,16.073715209960938,0.32358530163764954,10.18089771270752,0.0,0.09631191194057465,4.0
3,30,76.0,-53.87257766723633,19.951608657836914,0.2740475833415985,12.969082832336426,0.0,0.13909050822257996,7.0
3,40,88.0,-52.57285690307617,19.74800682067871,0.23995491862297058,13.717148780822754,0.0,0.15902578830718994,8.0
3,60,108.0,-49.387725830078125,18.858901977539062,0.18142443895339966,14.18698501586914,0.0,0.1920495480298996,11.0
3,80,122.0,-48.11576461791992,15.891870498657227,0.14242960512638092,13.963265419006348,0.0,0.21288996934890747,12.0
3,90,128.0,-47.62484359741211,14.002541542053223,0.12959951162338257,13.677116394042969,0.0,0.21760454773902893,12.0
3,100,134.0,-46.61373519897461,12.524092674255371,0.11531433463096619,13.308348655700684,0.0,0.2161789983510971,13.0
