label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
release_circuit/S2/I_spared,release_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.060530207151415556,0.054159474031151206,0.0,0,0.054159474031151206,0.060530207151415556,0.054159474031151206,0.0,0,0.054159474031151206,False,True
release_circuit/S1/baseline,release_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04928808582737944,0.05164058520773397,0.049634995284876034,0.051156591987958744,0.0,0,0.051156591987958744,0.049634995284876034,0.051156591987958744,0.0,0,0.051156591987958744,False,True
release_circuit/S1/Syn,release_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04928808582737944,0.15020845770183205,0.129890469588527,0.113393136132199,5.704491934377387e-09,5,0.0566965680660995,0.12989046962826745,0.11339313612669727,2.5490526356364285e-11,4,0.056696568063348635,False,True
release_circuit/S1/CaMKII,release_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04720171356503777,0.05164058520773397,0.04799307954487938,0.04730150078863371,0.0,0,0.04730150078863371,0.04799307954487938,0.04730150078863371,0.0,0,0.04730150078863371,False,True
release_circuit/S1/hDlx,release_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04560931186876443,0.2879945018947542,0.13577431767061615,0.15353885554341945,0.24238294966681567,10,0.07676942777170973,0.1405067289922101,0.15757016496950232,0.24238512462784423,9,0.07878508248475116,True,True
release_circuit/S1/I_spared,release_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04720171356503777,0.05164058520773397,0.04799307954487938,0.04730150078863371,0.0,0,0.04730150078863371,0.04799307954487938,0.04730150078863371,0.0,0,0.04730150078863371,False,True
remote/baseline,remote,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
remote/Syn_S2,remote,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.010259620011038112,0.376540320885446,0.12260200549265361,0.10427766453921936,0.36628068437530137,11,0.10427766453921936,0.13034525527619695,0.10849692519846278,0.366280408341113,12,0.10849692519846278,True,True
remote/CaMKII_S2,remote,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.010259620011038112,0.376540320885446,0.12260200549265361,0.10427766453921936,0.36628068437530137,11,0.10427766453921936,0.13034525527619695,0.10849692519846278,0.366280408341113,12,0.10849692519846278,True,True
remote/Syn_S1,remote,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.03720568193625627,0.1769601300962557,0.09442292900518823,0.0753319453735879,0.13975413930920486,11,0.0753319453735879,0.09085108175782883,0.07412565441311156,0.13975444815999943,11,0.07412565441311156,True,True
remote/gate_preserved,remote,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
E_only_counterexample/baseline,E_only_counterexample,0.44821637945651915,0.42327083898682094,0.0,0.05001542631864889,0.47986934907252066,0.44821637945651904,0.4232708389868209,0.0,0,0.4232708389868209,0.44821637945651904,0.4232708389868209,0.0,0,0.4232708389868209,False,True
