cycle,time_s,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
39,3.952,24.281822810752033,4.693241819499694,6.952545449392415,10.017400724185535,15.617460812624726,15.316254891248843,15.138691902804382,0.9885877798876135,0.9877821720284014,0.9872944693390984
40,4.0520000000000005,-24.281855254150592,4.507811334730588,6.692556285525582,9.656773529415007,-17.80368253731729,-17.32130391480901,-17.02477645216355,0.9936149092426761,0.9926298245205629,0.9919893504277281
41,4.152,24.281807442826402,4.693236562325521,6.952537689882412,10.017412505403763,15.617299354406816,15.316184892712284,15.138466107342595,0.9885873957739006,0.9877820234361594,0.9872938857429606
42,4.252,-24.281817688110156,4.507807312686786,6.692552298348639,9.656762873056417,-17.803765635700454,-17.321255129720974,-17.024700381515334,0.9936151468483223,0.992629800791208,0.9919892655353714
43,4.352,24.28184330131954,4.693259305800453,6.952553667737243,10.01743030644748,15.617493300894465,15.316210603877801,15.138691689818836,0.9885878114327639,0.9877819958358902,0.9872944119208082
44,4.452,-24.281822810752033,4.507792023910967,6.692542224252792,9.656771620230774,-17.80368652759461,-17.32126329740752,-17.02470039507549,0.993614980986301,0.9926298072317714,0.9919892542711796
45,4.5520000000000005,24.281817688110156,4.6932437433907825,6.952545831065712,10.01741965341576,15.617208717739683,15.3161534775234,15.138639829915249,0.9885871305222664,0.987781910121373,0.987294339129238
46,4.652,-24.281839886224958,4.507814672749473,6.692555591640319,9.656766678317467,-17.80371632996068,-17.321270829146055,-17.02476504135733,0.993615006047456,0.9926297870458424,0.9919893591520922
47,4.752,24.28181427301557,4.693224189257405,6.95253638127583,10.01740619427268,15.617436378710224,15.316195396469661,15.138544850564466,0.9885877380922666,0.98778203342809,0.9872940851868361
48,4.852,-24.281831348488495,4.507812833157221,6.692544173149832,9.656780477877755,-17.803646043839805,-17.32125809388631,-17.024705509636675,0.993614884455199,0.9926297781676625,0.9919892467239672
49,4.952,24.28183476358308,4.693244513489374,6.952549180676027,10.017427725113595,15.617386807278182,15.316223133598598,15.138610253582755,0.9885875538794336,0.9877820531383802,0.9872942097464071
50,5.0520000000000005,-24.281865499434346,4.507826242489436,6.692554502341289,9.656780910761524,-17.80366979992454,-17.321287244546518,-17.02473934994334,0.993614863985973,0.9926297675915533,0.9919892460390882
51,5.152,24.28181939565745,4.6932287646633135,6.952542694278464,10.017443604309213,15.617412850058507,15.316191443623545,15.138612893265176,0.9885876627600826,0.9877820087431873,0.9872942596882883
52,5.252,-24.28183305603579,4.507816431387887,6.692543818569404,9.656766843600787,-17.803703594872417,-17.321275924378085,-17.024784622499624,0.993614994419833,0.992629812269267,0.99198941738172
53,5.352,24.28184842396142,4.693251173520091,6.952557995650129,10.017422593942271,15.617478841636542,15.316253771481549,15.138617560766813,0.9885877599467185,0.9877820993162947,0.9872941921265826
54,5.452,-24.281821103204745,4.507797990030705,6.6925293823684875,9.656785140284725,-17.803695516124137,-17.321289121156994,-17.0247447544606,0.9936150020484783,0.9926298654629949,0.9919893558364571
55,5.5520000000000005,24.28183305603579,4.693243225363153,6.952550450125873,10.017434908783281,15.61731320015342,15.316230906673098,15.138532691577014,0.9885873648335513,0.9877820789251807,0.9872939993723462
56,5.652,-24.281856961697883,4.507810521713664,6.692540169624069,9.656763835883797,-17.803758463955123,-17.321300840380353,-17.02476225284608,0.9936150553912872,0.9926298144062327,0.9919893153574021
57,5.752,24.281867206981637,4.69326426962152,6.9525651592037505,10.01746400458868,15.617515758876019,15.316316106304962,15.13870535804371,0.988587807626429,0.987782217774499,0.987294383528719
58,5.852,-24.281845008866835,4.507798917620695,6.692525483906746,9.656779079545938,-17.803661352542907,-17.321318439904807,-17.024798179077376,0.993614887701024,0.9926298769121419,0.991989420917528
59,5.952,24.28183476358308,4.693253187465018,6.952550939572437,10.017410474177149,15.617263374803548,15.316312165804948,15.138686940639275,0.9885872293369152,0.9877822953003069,0.9872944224278288
