condition_type,coupling_dimensionless,delay_ms,perturbation_dimensionless,region,peak_activity_dimensionless,recruited,onset_ms
grid,0.44999998807907104,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.44999998807907104,4.0,0.5,1,0.8421472907066345,True,17.600000381469727
grid,0.44999998807907104,4.0,0.5,2,0.7637488842010498,True,24.200000762939453
grid,0.44999998807907104,4.0,0.5,3,0.5924120545387268,True,31.399999618530273
grid,0.44999998807907104,4.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.44999998807907104,4.0,0.699999988079071,1,0.8874111771583557,True,16.700000762939453
grid,0.44999998807907104,4.0,0.699999988079071,2,0.8091610074043274,True,23.100000381469727
grid,0.44999998807907104,4.0,0.699999988079071,3,0.7070316672325134,True,29.899999618530273
grid,0.44999998807907104,8.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.44999998807907104,8.0,0.30000001192092896,1,0.3567264974117279,False,nan
grid,0.44999998807907104,8.0,0.30000001192092896,2,0.11658865958452225,False,nan
grid,0.44999998807907104,8.0,0.30000001192092896,3,0.0314411036670208,False,nan
grid,0.44999998807907104,8.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.44999998807907104,8.0,0.5,1,0.8421472907066345,True,21.600000381469727
grid,0.44999998807907104,8.0,0.5,2,0.7637488842010498,True,32.20000076293945
grid,0.44999998807907104,8.0,0.5,3,0.5924120545387268,True,43.400001525878906
grid,0.44999998807907104,8.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.44999998807907104,8.0,0.699999988079071,1,0.8874111771583557,True,20.700000762939453
grid,0.44999998807907104,8.0,0.699999988079071,2,0.8091610074043274,True,31.100000381469727
grid,0.44999998807907104,8.0,0.699999988079071,3,0.7070316672325134,True,41.900001525878906
grid,0.44999998807907104,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.44999998807907104,12.0,0.30000001192092896,1,0.3567264974117279,False,nan
grid,0.44999998807907104,12.0,0.30000001192092896,2,0.11658865958452225,False,nan
grid,0.44999998807907104,12.0,0.30000001192092896,3,0.0314411036670208,False,nan
grid,0.44999998807907104,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.44999998807907104,12.0,0.5,1,0.8421472907066345,True,25.600000381469727
grid,0.44999998807907104,12.0,0.5,2,0.7637488842010498,True,40.20000076293945
grid,0.44999998807907104,12.0,0.5,3,0.5924120545387268,True,55.400001525878906
grid,0.44999998807907104,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.44999998807907104,12.0,0.699999988079071,1,0.8874111771583557,True,24.700000762939453
grid,0.44999998807907104,12.0,0.699999988079071,2,0.8091610074043274,True,39.10000228881836
grid,0.44999998807907104,12.0,0.699999988079071,3,0.7070316672325134,True,53.900001525878906
grid,0.550000011920929,1.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.550000011920929,1.0,0.30000001192092896,1,0.6848555207252502,True,17.600000381469727
grid,0.550000011920929,1.0,0.30000001192092896,2,0.6846084594726562,True,21.0
grid,0.550000011920929,1.0,0.30000001192092896,3,0.592220664024353,True,24.30000114440918
grid,0.550000011920929,1.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.550000011920929,1.0,0.5,1,0.9215089678764343,True,14.0
grid,0.550000011920929,1.0,0.5,2,0.9134522080421448,True,16.600000381469727
grid,0.550000011920929,1.0,0.5,3,0.907412052154541,True,19.30000114440918
grid,0.550000011920929,1.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.550000011920929,1.0,0.699999988079071,1,0.955358624458313,True,13.300000190734863
grid,0.550000011920929,1.0,0.699999988079071,2,0.9284786581993103,True,15.90000057220459
grid,0.550000011920929,1.0,0.699999988079071,3,0.9155924916267395,True,18.5
grid,0.550000011920929,4.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.550000011920929,4.0,0.30000001192092896,1,0.6848555207252502,True,20.600000381469727
grid,0.550000011920929,4.0,0.30000001192092896,2,0.6846084594726562,True,27.0
grid,0.550000011920929,4.0,0.30000001192092896,3,0.592220664024353,True,33.29999923706055
grid,0.550000011920929,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.550000011920929,4.0,0.5,1,0.9215089678764343,True,17.0
grid,0.550000011920929,4.0,0.5,2,0.9134522080421448,True,22.600000381469727
grid,0.550000011920929,4.0,0.5,3,0.907412052154541,True,28.30000114440918
grid,0.550000011920929,4.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.550000011920929,4.0,0.699999988079071,1,0.955358624458313,True,16.30000114440918
grid,0.550000011920929,4.0,0.699999988079071,2,0.9284786581993103,True,21.899999618530273
grid,0.550000011920929,4.0,0.699999988079071,3,0.9155924916267395,True,27.5
grid,0.550000011920929,8.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.550000011920929,8.0,0.30000001192092896,1,0.6848555207252502,True,24.600000381469727
grid,0.550000011920929,8.0,0.30000001192092896,2,0.6846084594726562,True,35.0
grid,0.550000011920929,8.0,0.30000001192092896,3,0.592220664024353,True,45.29999923706055
grid,0.550000011920929,8.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.550000011920929,8.0,0.5,1,0.9215089678764343,True,21.0
grid,0.550000011920929,8.0,0.5,2,0.9134522080421448,True,30.600000381469727
grid,0.550000011920929,8.0,0.5,3,0.907412052154541,True,40.29999923706055
grid,0.550000011920929,8.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.550000011920929,8.0,0.699999988079071,1,0.955358624458313,True,20.30000114440918
grid,0.550000011920929,8.0,0.699999988079071,2,0.9284786581993103,True,29.899999618530273
grid,0.550000011920929,8.0,0.699999988079071,3,0.9155924916267395,True,39.5
grid,0.550000011920929,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.550000011920929,12.0,0.30000001192092896,1,0.6848555207252502,True,28.600000381469727
