cycle,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
36,-24.281839886224958,4.507818438508179,6.692546277515445,9.656748373713882,-17.80368751262574,-17.321327934679754,-17.0247479303766,0.9936149493017458,0.9926299078292051,0.9919893214270341
37,24.281797197542645,4.693219545749027,6.9525334972901325,10.017406490133924,15.617449762553656,15.316220094067331,15.138672855344515,0.988587818177972,0.9877821470485677,0.9872944875482218
38,-24.28182793339391,4.507813478949588,6.692544093688062,9.65677402285456,-17.803734909714972,-17.321298647238063,-17.024775555695534,0.9936150661704806,0.9926298711650419,0.9919894086859545
39,24.281819395657447,4.693241819499694,6.952545449392415,10.017403134953645,15.617460812624726,15.316254891248843,15.13867804720216,0.98858778886681,0.98778218131724,0.9872944403838866
40,-24.281858669245178,4.50781214843867,6.692556285525582,9.656776859777063,-17.803684772748735,-17.32130391480901,-17.024781005066608,0.9936149069197275,0.9926298172973165,0.9919893529362845
41,24.281809150373693,4.6932370105603916,6.952540021037487,10.017414380183517,15.617318930512472,15.31618992682776,15.138473331440396,0.9885874427558635,0.9877820324842667,0.9872939010426376
42,-24.281822810752033,4.50780680360142,6.692551939605691,9.656763373369177,-17.803745486522306,-17.321245281959126,-17.024710075989905,0.9936150970848301,0.9926297691273179,0.9919892756150626
43,24.281838178677667,4.6932595299205335,6.952553667737243,10.017431734964982,15.617503088891059,15.316210603877801,15.138689479312317,0.9885878506367379,0.9877820097692468,0.9872944199971995
44,-24.281829640941204,4.507792023910967,6.692544575353495,9.65677353556766,-17.80368652759461,-17.321267825620193,-17.024707518773106,0.9936149675366173,0.9926298023628691,0.9919892549182894
45,24.281815980562865,4.6932439675068816,6.95254413646432,10.017420423457885,15.61721850578232,15.316167597676053,15.138639903984776,0.9885871607480857,0.9877819531721328,0.987294344070312
46,-24.281850131508712,4.5078153591865915,6.692555591640319,9.65676776106522,-17.80371352809806,-17.321270829146055,-17.024771026818556,0.9936149803556739,0.9926297653760373,0.9919893497603505
47,24.281815980562865,4.69322459246066,6.952538075876392,10.017406873667637,15.617437640966513,15.316181276294483,15.138543008242419,0.9885877369214752,0.9877819903774094,0.9872940753416516
48,-24.28183476358308,4.507812426303238,6.692545348700156,9.656781081790202,-17.80364492612086,-17.3212603579933,-17.024709714173557,0.9936148755293325,0.9926297757332081,0.9919892484644828
49,24.28182793339391,4.693244659061326,6.9525500279758425,10.017427875786801,15.617384991397595,15.31621607351976,15.138609387610979,0.9885875670635197,0.9877820525130918,0.9872942262874397
50,-24.28186379188705,4.507826306124815,6.692554372629485,9.656782083427426,-17.803672318562263,-17.321268681082834,-17.024739580396414,0.9936148723080445,0.992629731939532,0.9919892503118763
51,24.281817688110156,4.693228876722774,6.952543329753669,10.01744525595969,15.617417744090693,15.316186148562211,15.13861540004306,0.9885876801174849,0.9877819989853102,0.9872942713761856
52,-24.28183476358308,4.507816431387887,6.692544479816506,9.656767926348884,-17.80370359487242,-17.321277197936674,-17.02479060795855,0.993614991057417,0.9926298113513395,0.9919894268133036
53,24.28184671641413,4.693251173520091,6.952558419299795,10.017422593942271,15.617478841636533,15.31625024144452,15.138617560766813,0.988587764436321,0.9877820943592232,0.987294196862262
54,-24.281829640941204,4.507799362905109,6.69252997014372,9.656787055622544,-17.80368991238535,-17.321290253210364,-17.024751878139433,0.993614974201788,0.992629849799317,0.9919893527188474
55,24.281831348488495,4.693244389940444,6.952550873775709,10.017435355045995,15.617298673126069,15.316227376633636,15.138542126130279,0.9885873311270712,0.9877820739680984,0.9872940302738544
56,-24.281856961697883,4.507810776256459,6.692540169624069,9.65676500075041,-17.803768538535728,-17.321300840380353,-17.024754834833118,0.9936150752295312,0.9926298144062327,0.9919892990026677
57,24.281867206981634,4.693265882435126,6.952564311905432,10.017464450856368,15.617520807829486,15.316323166380627,15.138714792561874,0.9885878209014598,0.9877822369774134,0.9872944096940266
58,-24.28184842396142,4.507800240411814,6.692526201395775,9.656778579230666,-17.803683737203343,-17.321338135497463,-17.024788484623137,0.9936149250551888,0.9926299113467575,0.9919893920146577
59,24.281831348488495,4.693254800276803,6.952552952449089,10.017413331212223,15.617268423855691,15.316307622749951,15.13868251961947,0.9885872515919465,0.9877822922323414,0.9872944196380397
